,Open,Close,High,Low,Volume,NumOfTrade
0,33502.33,33786.55,33977.04,32699.0,56172.181378,1176457.0
1,33786.54,34669.13,34945.61,33316.73,43044.578641,1078278.0
2,34669.12,35286.51,35967.85,34357.15,43703.475789,1164970.0
3,35288.13,33690.14,35293.78,33125.55,64123.874245,1109367.0
4,33690.15,34220.01,35118.88,33532.0,58210.596349,1184687.0
5,34220.02,33862.12,35059.09,33777.77,53807.521675,1041416.0
6,33862.11,32875.71,33929.64,32077.0,70136.48032,1257892.0
7,32875.71,33815.81,34100.0,32261.07,47153.939899,1236351.0
8,33815.81,33502.87,34262.0,33004.78,34761.175468,865508.0
9,33502.87,34258.99,34666.0,33306.47,31572.647448,952891.0
10,34259.0,33086.63,34678.43,32658.34,48181.403762,1176847.0
11,33086.94,32729.77,33340.0,32202.25,41126.361008,956053.0
12,32729.12,32820.02,33114.03,31550.0,46777.823484,1123129.0
13,32820.03,31880.0,33185.25,31133.0,51639.576353,1099367.0
14,31874.49,31383.87,32249.18,31020.0,48499.864154,1067591.0
15,31383.86,31520.07,31955.92,31164.31,34012.242132,883442.0
16,31520.07,31778.56,32435.0,31108.97,35923.716186,760979.0
17,31778.57,30839.65,31899.0,30407.44,47340.468499,846029.0
18,30839.65,29790.35,31063.07,29278.0,61034.049017,1062139.0
19,29790.34,32144.51,32858.0,29482.61,82796.265128,1415058.0
20,32144.51,32287.83,32591.35,31708.0,46148.092433,1000742.0
21,32287.58,33634.09,33650.0,31924.32,50112.863626,1394786.0
22,33634.1,34258.14,34500.0,33401.14,47977.550138,1196914.0
23,34261.51,35381.02,35398.0,33851.12,47852.928313,1245775.0
24,35381.02,37237.6,40550.0,35205.78,152452.512724,3330102.0
25,37241.33,39457.87,39542.61,36383.0,88397.267015,1938478.0
26,39456.61,40019.56,40900.0,38772.0,101344.528441,2631048.0
27,40019.57,40016.48,40640.0,39200.0,53998.439283,1428738.0
28,40018.49,42206.37,42316.71,38313.23,73602.784805,1797012.0
29,42206.36,41461.83,42448.0,41000.15,44849.791012,1565380.0
30,41461.84,39845.44,42599.0,39422.01,53953.186326,1603964.0
31,39850.27,39147.82,40480.01,38690.0,50837.351954,1162878.0
32,39146.86,38207.05,39780.0,37642.03,57117.435853,1379871.0
33,38207.04,39723.18,39969.66,37508.56,52329.35243,1220555.0
34,39723.17,40862.46,41350.0,37332.7,84343.755621,1913281.0
35,40862.46,42836.87,43392.43,39853.86,75753.941347,2223356.0
36,42836.87,44572.54,44700.0,42446.41,73396.740808,2258213.0
37,44572.54,43794.37,45310.0,43261.0,69329.092698,1857112.0
38,43794.36,46253.4,46454.15,42779.0,74587.884845,2130595.0
39,46248.87,45584.99,46700.0,44589.46,53814.643421,1951330.0
40,45585.0,45511.0,46743.47,45341.14,52734.901977,1862925.0
41,45510.67,44399.0,46218.12,43770.0,55266.108781,1623329.0
42,44400.06,47800.0,47886.0,44217.39,48239.370431,1804716.0
43,47799.99,47068.51,48144.0,45971.03,46114.359022,1849556.0
44,47068.5,46973.82,47372.27,45500.0,42110.711334,1580122.0
45,46973.82,45901.29,48053.83,45660.0,52480.574014,1655378.0
46,45901.3,44695.95,47160.0,44376.0,57039.341629,1781303.0
47,44695.95,44705.29,46000.0,44203.28,54099.415985,1656723.0
48,44699.37,46760.62,47033.0,43927.7,53411.75392,1774382.0
49,46760.62,49322.47,49382.99,46622.99,56850.352228,1950404.0
50,49322.47,48821.87,49757.04,48222.0,46745.136584,2069725.0
51,48821.88,49239.22,49500.0,48050.0,37007.887795,1610192.0
52,49239.22,49488.85,50500.0,49029.0,52462.541954,2143309.0
53,49488.85,47674.01,49860.0,47600.0,51014.594748,1692896.0
54,47674.01,48973.32,49264.3,47126.28,44655.830342,1559186.0
55,48973.32,46843.87,49352.84,46250.0,49371.277774,1532753.0
56,46843.86,49069.9,49149.93,46348.0,42068.104965,1320503.0
57,49069.9,48895.35,49299.0,48346.88,26681.063786,793012.0
58,48895.35,48767.83,49632.27,47762.54,32652.283473,1193046.0
59,48767.84,46982.91,48888.61,46853.0,40288.35083,1204012.0
60,46982.91,47100.89,48246.11,46700.0,48645.52737,1300400.0
61,47100.89,48810.52,49156.0,46512.0,49904.65528,1280384.0
62,48810.51,49246.64,50450.13,48584.06,54410.770538,1549849.0
63,49246.63,49999.14,51000.0,48316.84,59025.644157,1645163.0
64,49998.0,49915.64,50535.69,49370.0,34664.65959,1225830.0
65,49917.54,51756.88,51900.0,49450.0,40544.835873,1417660.0
66,51756.88,52663.9,52780.0,50969.33,49249.667081,1678015.0
67,52666.2,46863.73,52920.0,42843.05,123048.802719,3321711.0
68,46868.57,46048.31,47340.99,44412.02,65069.3152,1796101.0
69,46048.31,46395.14,47399.97,45513.08,50651.66002,1567586.0
70,46395.14,44850.91,47033.0,44132.29,49048.26618,1569941.0
71,44842.2,45173.69,45987.93,44722.22,30440.4081,1060890.0
72,45173.68,46025.24,46460.0,44742.06,32094.28052,1179808.0
73,46025.23,44940.73,46880.0,43370.0,65429.15056,1703512.0
74,44940.72,47111.52,47250.0,44594.44,44855.85099,1210258.0
75,47103.28,48121.41,48500.0,46682.32,43204.71174,1176050.0
76,48121.4,47737.82,48557.0,47021.1,40725.08895,1176129.0
77,47737.81,47299.98,48150.0,46699.56,34461.92776,1033968.0
78,47299.98,48292.74,48843.2,47035.56,30906.47038,976346.0
79,48292.75,47241.75,48372.83,46829.18,29847.24349,909785.0
80,47241.75,43015.62,47347.25,42500.0,78003.524443,1842231.0
81,43016.64,40734.38,43639.0,39600.0,84534.080485,1820721.0
82,40734.09,43543.61,44000.55,40565.39,58349.05542,1304011.0
83,43546.37,44865.26,44978.0,43069.09,48699.57655,1196106.0
84,44865.26,42810.57,45200.0,40675.0,84113.426292,1819744.0
85,42810.58,42670.64,42966.84,41646.28,33594.57189,949787.0
86,42670.63,43160.9,43950.0,40750.0,49879.99765,1374145.0
87,43160.9,42147.35,44350.0,42098.0,39776.84383,1001487.0
88,42147.35,41026.54,42787.38,40888.0,43372.2624,1045389.0
89,41025.01,41524.28,42590.0,40753.88,33511.53487,884909.0
90,41524.29,43824.1,44141.37,41410.17,46381.22781,1197815.0
91,43820.01,48141.61,48495.0,43283.03,66244.87492,1771237.0
92,48141.6,47634.9,48336.59,47430.18,30508.98131,996116.0
93,47634.89,48200.01,49228.08,47088.0,30825.05601,1114294.0
94,48200.01,49224.94,49536.12,46891.0,46796.49372,1437692.0
95,49224.93,51471.99,51886.3,49022.4,52125.66793,1641651.0
96,51471.99,55315.0,55750.0,50382.41,79877.545181,2443126.0
97,55315.0,53785.22,55332.31,53357.0,54917.37766,1703147.0
98,53785.22,53951.43,56100.0,53617.61,46160.25785,1548832.0
99,53955.67,54949.72,55489.0,53661.67,55177.08013,1609483.0
100,54949.72,54659.0,56561.31,54080.0,89237.836128,2427176.0
101,54659.01,57471.35,57839.04,54415.06,52933.165751,1690409.0
102,57471.35,55996.93,57680.0,53879.0,53471.2855,1554412.0
103,55996.91,57367.0,57777.0,54167.19,55808.44492,1610489.0
104,57370.83,57347.94,58532.54,56818.05,43053.336781,1372048.0
105,57347.94,61672.42,62933.0,56850.0,82512.908022,2649137.0
106,61672.42,60875.57,62378.42,60150.0,35467.88096,1360379.0
107,60875.57,61528.33,61718.39,58963.0,39099.24124,1331655.0
108,61528.32,62009.84,62695.78,59844.45,51798.44844,1629184.0
109,62005.6,64280.59,64486.0,61322.22,53628.107744,1755708.0
110,64280.59,66001.41,67000.0,63481.4,51428.934856,1823286.0
111,66001.4,62193.15,66639.74,62000.0,68538.64537,2181665.0
112,62193.15,60688.22,63732.39,60000.0,52119.35886,1555280.0
113,60688.23,61286.75,61747.64,59562.15,27626.93678,982103.0
114,61286.75,60852.22,61500.0,59510.63,31226.57676,1052085.0
115,60852.22,63078.78,63710.63,60650.0,36853.83806,1270453.0
116,63078.78,60328.81,63293.48,59817.55,40217.50083,1334460.0
117,60328.81,58413.44,61496.0,58000.0,62124.49016,1913083.0
118,58413.44,60575.89,62499.0,57820.0,61056.35301,1878275.0
119,60575.9,62253.71,62980.0,60174.81,43973.90414,1417344.0
120,62253.7,61859.19,62359.25,60673.0,31478.12566,1197748.0
121,61859.19,61299.8,62405.3,59945.36,39267.63794,1563417.0
122,61299.81,60911.11,62437.74,59405.0,44687.66672,1472636.0
123,60911.12,63219.99,64270.0,60624.68,46368.2841,1858362.0
124,63220.57,62896.48,63500.0,60382.76,43336.09049,1601925.0
125,62896.49,61395.01,63086.31,60677.01,35930.93314,1346081.0
126,61395.01,60937.12,62595.72,60721.0,31604.48749,1243074.0
127,60940.18,61470.61,61560.49,60050.0,25590.57408,965309.0
128,61470.62,63273.59,63286.35,61322.78,25515.6883,1068629.0
129,63273.58,67525.83,67789.0,63273.58,54442.094554,2349581.0
130,67525.82,66947.66,68524.25,66222.4,44661.378068,1847655.0
131,66947.67,64882.43,69000.0,62822.9,65171.504046,2347934.0
132,64882.42,64774.26,65600.07,64100.0,37237.98058,1327827.0
133,64774.25,64122.23,65450.7,62278.0,44490.10816,1479149.0
134,64122.22,64380.0,65000.0,63360.22,22504.97383,904149.0
135,64380.01,65519.1,65550.51,63576.27,25705.07347,951393.0
136,65519.11,63606.74,66401.82,63400.0,37829.37124,1305209.0
137,63606.73,60058.87,63617.31,58574.07,77455.15609,2353681.0
138,60058.87,60344.87,60840.23,58373.0,46289.38491,1471305.0
139,60344.86,56891.62,60976.0,56474.26,62146.99931,1960419.0
140,56891.62,58052.24,58320.0,55600.0,50715.88726,1560459.0
141,58057.1,59707.51,59845.0,57353.0,33811.5901,1200190.0
142,59707.52,58622.02,60029.76,58486.65,31902.22785,1249219.0
143,58617.7,56247.18,59444.0,55610.0,51724.32047,1624768.0
144,56243.83,57541.27,58009.99,55317.0,49917.85017,1570845.0
145,57541.26,57138.29,57735.0,55837.0,39612.04964,1432991.0
146,57138.29,58960.36,59398.9,57000.0,42153.51522,1604266.0
147,58960.37,53726.53,59150.0,53500.0,65927.87066,2138184.0
148,53723.72,54721.03,55280.0,53610.0,29716.99957,1110145.0
149,54716.47,57274.88,57445.05,53256.64,36163.7137,1253408.0
150,57274.89,57776.25,58865.97,56666.67,40125.28009,1349625.0
151,57776.25,56950.56,59176.99,55875.55,49161.05194,1587472.0
152,56950.56,57184.07,59053.55,56458.01,44956.63656,1442301.0
153,57184.07,56480.34,57375.47,55777.77,37574.05976,1307890.0
154,56484.26,53601.05,57600.0,51680.0,58927.69027,1865063.0
155,53601.05,49152.47,53859.1,42000.3,114203.373748,3362771.0
156,49152.46,49396.33,49699.05,47727.21,45580.82012,1371839.0
157,49396.32,50441.92,50891.11,47100.0,58571.21575,1741956.0
158,50441.91,50588.95,51936.33,50039.74,38253.46877,1212350.0
159,50588.95,50471.19,51200.0,48600.0,38425.92466,1118225.0
160,50471.19,47545.59,50797.76,47320.0,37692.68665,1130599.0
161,47535.9,47140.54,50125.0,46852.0,44233.57391,1215231.0
162,47140.54,49389.99,49485.71,46751.0,28889.19358,957390.0
163,49389.99,50053.9,50777.0,48638.0,26017.93421,863605.0
164,50053.9,46702.75,50189.97,45672.75,50869.52093,1399599.0
165,46702.76,48343.28,48700.41,46290.0,39955.98445,1194992.0
166,48336.95,48864.98,49500.0,46547.0,51629.181,1438176.0
167,48864.98,47632.38,49436.43,47511.0,31949.86739,1023983.0
